Customer ID,Invoice Total,Invoice applied amount,Invoice exchange rate,Payment Total,Payment applied amount,Payment exchange rate,Credit Total,Credit applied amount,Credit exchange rate,Adjustment Total,Adjustment applied amount,Adjustment exchange rate,Customer Balance
CUST_0042,3066.01,32.41,1.0,159.63,26.63,1.0,411.33,273.1,1.0,79.34,7.8,1.0,2833.91
CUST_0043,2692.62,1247.63,1.0,761.42,150.96,1.0,89.47,18.38,1.0,42.53,34.2,1.0,771.77
CUST_0044,1981.0,104.21,1.0,1742.95,632.09,1.0,155.29,67.45,1.0,152.3,76.4,1.0,753.99
CUST_0045,3848.2,1357.71,1.0,1508.93,383.14,1.0,7.87,1.7,1.0,118.84,40.97,1.0,1436.4
CUST_0046,2471.6,152.48,1.0,628.77,295.63,1.0,166.15,29.91,1.0,108.88,74.96,1.0,1883.66
CUST_0047,3248.89,552.26,1.0,233.67,94.08,1.0,478.94,356.84,1.0,20.43,13.51,1.0,2441.86
CUST_0048,1988.65,504.81,1.0,1879.73,343.71,1.0,105.05,75.25,1.0,162.95,32.56,1.0,48.41
CUST_0049,1036.94,272.65,1.0,1068.77,172.57,1.0,141.35,131.93,1.0,11.8,3.23,1.0,-132.76
CUST_0050,1981.14,475.22,1.0,789.13,341.6,1.0,376.51,247.92,1.0,17.69,11.33,1.0,936.16
CUST_0051,3449.45,961.64,1.0,1680.29,453.07,1.0,444.54,159.32,1.0,114.66,6.28,1.0,1083.75
CUST_0052,3410.92,1701.31,1.0,341.79,133.88,1.0,442.92,264.57,1.0,76.29,30.12,1.0,1369.52
CUST_0053,1466.78,491.57,1.0,206.51,59.63,1.0,27.27,6.21,1.0,123.03,81.72,1.0,848.58
CUST_0054,3315.16,906.11,1.0,1003.19,325.2,1.0,251.16,119.47,1.0,72.89,61.35,1.0,1610.91
CUST_0055,4856.22,2412.0,1.0,286.87,114.83,1.0,28.97,22.89,1.0,146.07,50.07,1.0,2362.1
CUST_0056,2654.39,12.67,1.0,1343.23,198.74,1.0,23.06,2.18,1.0,79.25,47.53,1.0,1508.07
CUST_0057,2763.44,1087.95,1.0,531.77,216.78,1.0,201.09,23.49,1.0,54.6,6.63,1.0,1230.87
CUST_0058,4976.29,1677.47,1.0,163.61,53.12,1.0,351.22,164.79,1.0,103.43,22.42,1.0,3082.91
CUST_0059,2949.48,591.38,1.0,287.27,64.67,1.0,469.73,336.18,1.0,84.09,74.1,1.0,2011.94
CUST_0060,2114.29,658.71,1.0,1217.34,599.88,1.0,430.93,122.37,1.0,102.95,24.4,1.0,608.11
CUST_0061,666.91,215.33,1.0,1635.45,545.7,1.0,95.24,7.14,1.0,121.13,54.93,1.0,-660.07
CUST_0062,941.03,280.77,1.0,717.87,91.33,1.0,342.55,276.29,1.0,193.77,113.16,1.0,48.07
CUST_0063,2775.15,367.54,1.0,201.36,8.48,1.0,49.77,17.2,1.0,50.54,14.49,1.0,2218.21
CUST_0064,4044.49,188.73,1.0,778.8,70.6,1.0,328.36,7.05,1.0,146.78,20.59,1.0,2952.44
CUST_0065,4094.98,1985.87,1.0,665.88,160.59,1.0,397.43,35.3,1.0,176.62,138.41,1.0,1279.9
CUST_0066,2863.91,40.88,1.0,771.42,8.2,1.0,125.72,43.52,1.0,47.78,19.71,1.0,2005.68
CUST_0067,1403.02,199.84,1.0,634.65,27.17,1.0,82.77,2.07,1.0,66.77,54.41,1.0,527.36
CUST_0068,1490.35,329.03,1.0,297.81,26.48,1.0,59.03,28.77,1.0,161.77,128.05,1.0,893.45
CUST_0069,2554.26,1017.99,1.0,1813.12,770.62,1.0,80.99,46.69,1.0,199.66,60.44,1.0,598.69
CUST_0070,4204.44,1107.8,1.0,296.78,14.29,1.0,221.9,112.68,1.0,43.25,36.63,1.0,2711.55
CUST_0071,3692.42,905.73,1.0,218.56,77.76,1.0,449.77,354.3,1.0,121.3,99.2,1.0,2572.52
CUST_0072,3357.31,1321.03,1.0,1001.83,369.27,1.0,405.57,20.03,1.0,176.92,116.9,1.0,1078.2
CUST_0073,2755.65,437.11,1.0,107.62,11.8,1.0,461.77,299.01,1.0,180.7,91.14,1.0,2149.52
CUST_0074,1677.54,513.0,1.0,1643.25,62.48,1.0,476.75,321.54,1.0,15.5,5.36,1.0,-561.3
CUST_0075,1393.64,629.15,1.0,556.66,81.1,1.0,425.79,195.81,1.0,66.88,61.29,1.0,64.54
CUST_0076,1280.37,598.88,1.0,1770.83,37.31,1.0,30.93,1.08,1.0,1.65,1.36,1.0,-1081.59
CUST_0077,1354.59,190.74,1.0,983.34,289.32,1.0,16.0,2.53,1.0,138.85,85.06,1.0,510.15
CUST_0078,797.14,165.32,1.0,1774.62,248.51,1.0,104.8,69.78,1.0,89.56,63.43,1.0,-903.18
CUST_0079,1023.0,447.7,1.0,224.23,8.54,1.0,313.77,19.7,1.0,132.27,72.07,1.0,125.74
CUST_0080,800.36,164.07,1.0,460.05,167.49,1.0,343.04,97.88,1.0,26.9,0.85,1.0,124.62
CUST_0081,4299.46,544.18,1.0,626.54,75.99,1.0,381.26,51.26,1.0,180.01,92.33,1.0,2962.41
CUST_0082,846.34,42.4,1.0,1104.72,154.59,1.0,333.2,318.83,1.0,175.62,67.88,1.0,-52.82
CUST_0083,4840.89,1069.66,1.0,494.55,208.78,1.0,143.22,32.82,1.0,165.82,14.54,1.0,3526.34
CUST_0084,1836.7,519.77,1.0,1985.65,92.97,1.0,188.3,128.41,1.0,8.02,1.82,1.0,-629.44
CUST_0085,4982.38,1425.65,1.0,474.75,53.04,1.0,277.32,188.92,1.0,148.14,22.62,1.0,3172.14
CUST_0086,898.04,19.47,1.0,173.54,78.2,1.0,151.89,77.89,1.0,92.69,90.88,1.0,711.04
CUST_0087,4546.73,202.64,1.0,1702.89,180.45,1.0,195.49,101.27,1.0,22.0,12.39,1.0,2737.04
CUST_0088,1483.19,285.63,1.0,1689.06,620.66,1.0,54.56,35.01,1.0,61.13,58.27,1.0,112.47
CUST_0089,3648.84,418.94,1.0,281.05,95.21,1.0,407.1,344.45,1.0,40.79,9.21,1.0,3012.99
CUST_0090,4037.52,290.92,1.0,1408.37,387.7,1.0,352.4,143.35,1.0,198.25,24.89,1.0,2690.24
CUST_0091,542.63,98.69,1.0,1022.14,508.58,1.0,101.37,63.01,1.0,112.79,27.7,1.0,-22.89
CUST_0092,1634.24,551.13,1.0,1031.55,216.05,1.0,330.31,66.83,1.0,127.14,20.4,1.0,110.87
CUST_0093,559.09,177.3,1.0,915.58,248.98,1.0,331.47,293.22,1.0,14.35,7.46,1.0,-316.17
CUST_0094,2418.89,246.34,1.0,1580.62,510.92,1.0,87.15,60.45,1.0,196.45,29.65,1.0,1242.95
CUST_0095,1518.48,154.94,1.0,1857.15,227.97,1.0,211.57,90.9,1.0,6.79,5.19,1.0,-384.71
CUST_0096,4192.37,1595.74,1.0,558.18,198.89,1.0,26.99,22.27,1.0,72.12,5.66,1.0,2299.08
CUST_0097,2732.16,1026.65,1.0,1696.94,430.33,1.0,268.64,130.93,1.0,88.45,10.03,1.0,379.61
CUST_0098,926.02,149.33,1.0,606.44,19.85,1.0,478.89,113.37,1.0,67.96,65.59,1.0,-173.05
CUST_0099,552.24,166.45,1.0,1817.31,127.46,1.0,263.26,0.19,1.0,0.62,0.48,1.0,-1566.99
CUST_0100,667.45,10.41,1.0,744.51,313.25,1.0,47.24,40.97,1.0,152.26,76.35,1.0,295.42
CUST_0101,1894.94,671.69,1.0,710.23,239.75,1.0,470.08,378.77,1.0,24.32,0.87,1.0,684.91
CUST_0102,2805.24,27.34,1.0,508.9,162.35,1.0,187.21,127.35,1.0,33.9,1.65,1.0,2403.74
CUST_0103,1219.86,281.38,1.0,1737.62,377.01,1.0,274.24,158.93,1.0,172.05,121.24,1.0,-486.63
CUST_0104,4271.13,1504.43,1.0,1598.05,176.82,1.0,73.81,11.53,1.0,35.57,2.22,1.0,1316.54
CUST_0105,4623.55,896.83,1.0,941.03,296.66,1.0,74.24,67.24,1.0,189.65,178.25,1.0,3086.75
CUST_0106,4553.57,72.97,1.0,1922.39,785.24,1.0,453.09,364.68,1.0,155.52,9.89,1.0,3400.67
CUST_0107,2628.71,501.06,1.0,1300.22,643.03,1.0,385.97,21.25,1.0,160.41,79.05,1.0,1187.1
CUST_0108,1019.65,114.96,1.0,148.42,45.94,1.0,213.06,133.18,1.0,178.35,3.11,1.0,897.57
CUST_0109,1167.32,554.65,1.0,1281.99,16.17,1.0,269.38,221.43,1.0,24.03,3.48,1.0,-680.55
CUST_0110,2188.27,634.38,1.0,1716.49,43.88,1.0,172.84,138.17,1.0,18.96,4.19,1.0,-138.62
CUST_0111,523.48,96.64,1.0,1200.53,567.01,1.0,83.12,62.65,1.0,17.66,12.37,1.0,-221.86
CUST_0112,1736.78,842.6,1.0,502.91,148.54,1.0,199.51,151.46,1.0,141.41,53.09,1.0,580.08
CUST_0113,4120.7,1219.21,1.0,716.37,15.54,1.0,6.89,5.57,1.0,55.94,37.61,1.0,2217.67
CUST_0114,3649.67,1434.04,1.0,464.02,99.8,1.0,449.82,278.81,1.0,2.81,0.49,1.0,1682.72
CUST_0115,2698.38,858.57,1.0,1305.66,134.39,1.0,163.62,153.88,1.0,56.38,17.69,1.0,697.49
CUST_0116,2903.25,309.16,1.0,1010.27,372.31,1.0,341.56,77.39,1.0,91.48,67.53,1.0,1715.91
CUST_0117,1304.21,374.89,1.0,667.28,119.36,1.0,449.14,360.62,1.0,145.06,120.39,1.0,317.55
CUST_0118,2411.4,1166.6,1.0,747.0,129.58,1.0,152.85,6.62,1.0,84.02,34.7,1.0,530.47
CUST_0119,1948.18,385.51,1.0,933.41,155.41,1.0,495.45,205.31,1.0,95.81,28.35,1.0,561.99
CUST_0120,2599.28,427.46,1.0,692.3,315.5,1.0,381.17,99.98,1.0,19.43,2.09,1.0,1531.17
CUST_0121,1396.09,351.3,1.0,1432.13,535.87,1.0,82.51,15.31,1.0,179.62,115.29,1.0,145.66
CUST_0122,1342.39,399.89,1.0,412.0,47.79,1.0,156.67,115.37,1.0,126.38,41.16,1.0,622.21
CUST_0123,4630.26,2287.12,1.0,280.58,7.1,1.0,401.56,109.4,1.0,184.72,132.96,1.0,1829.26
CUST_0124,1093.86,311.71,1.0,1512.6,274.32,1.0,143.84,84.65,1.0,116.88,54.82,1.0,-453.26
CUST_0125,4645.87,598.77,1.0,1208.43,203.74,1.0,421.57,219.1,1.0,195.46,120.09,1.0,2915.31
CUST_0126,3143.12,803.01,1.0,932.76,436.87,1.0,168.55,85.72,1.0,165.79,71.26,1.0,1855.92
CUST_0127,1119.84,244.2,1.0,394.62,35.68,1.0,8.74,8.08,1.0,23.61,21.04,1.0,518.61
CUST_0128,2002.87,275.03,1.0,927.51,19.99,1.0,35.46,21.05,1.0,66.98,5.04,1.0,867.85
CUST_0129,4928.25,2042.4,1.0,284.68,63.23,1.0,241.27,207.74,1.0,167.0,153.39,1.0,2644.48
CUST_0130,2222.83,1065.98,1.0,138.71,14.18,1.0,466.12,426.71,1.0,129.72,9.93,1.0,1112.7
CUST_0131,2471.6,243.49,1.0,1319.86,245.17,1.0,487.28,104.4,1.0,57.27,4.25,1.0,823.56
CUST_0132,3840.92,1007.77,1.0,1616.94,112.67,1.0,425.74,59.69,1.0,133.7,75.91,1.0,1020.62
CUST_0133,2557.37,1141.81,1.0,1563.2,19.47,1.0,369.98,81.57,1.0,35.99,33.4,1.0,-413.99
CUST_0134,731.16,271.99,1.0,1663.89,588.6,1.0,429.67,117.65,1.0,125.69,114.09,1.0,-916.54
CUST_0135,2024.11,772.57,1.0,769.66,264.68,1.0,103.45,44.98,1.0,156.51,116.3,1.0,728.3
CUST_0136,2328.01,643.28,1.0,777.02,38.61,1.0,296.85,85.18,1.0,132.26,127.88,1.0,739.03
CUST_0137,1207.89,424.75,1.0,1581.91,322.47,1.0,491.81,45.02,1.0,43.4,43.03,1.0,-922.72
CUST_0138,4965.95,612.72,1.0,570.21,14.87,1.0,41.36,36.65,1.0,126.55,31.65,1.0,3888.08
CUST_0139,2736.25,318.72,1.0,860.87,108.49,1.0,29.82,23.84,1.0,171.83,139.44,1.0,1691.56
CUST_0140,842.51,114.33,1.0,580.72,226.93,1.0,42.86,13.99,1.0,79.06,72.84,1.0,351.74
CUST_0141,691.59,12.98,1.0,1649.99,653.32,1.0,438.93,29.24,1.0,107.69,89.72,1.0,-709.78
CUST_0142,2424.87,465.32,1.0,1673.86,450.91,1.0,316.34,63.92,1.0,149.24,71.76,1.0,561.66
CUST_0143,3808.99,1233.92,1.0,1557.74,624.76,1.0,63.83,33.33,1.0,193.78,82.94,1.0,1722.43
CUST_0144,3802.46,1209.54,1.0,851.18,226.48,1.0,410.49,163.64,1.0,198.98,158.75,1.0,1761.6
CUST_0145,2396.52,315.35,1.0,551.59,270.91,1.0,114.99,38.16,1.0,178.05,79.74,1.0,1821.97
CUST_0146,830.43,121.27,1.0,785.14,238.23,1.0,270.65,251.98,1.0,112.47,81.66,1.0,174.39
CUST_0147,3167.7,1032.45,1.0,1208.76,525.69,1.0,48.7,14.2,1.0,14.93,10.67,1.0,1421.94
CUST_0148,4894.02,84.93,1.0,1248.27,319.0,1.0,409.11,289.74,1.0,181.9,119.86,1.0,3822.49
CUST_0149,4125.67,1099.7,1.0,687.17,337.19,1.0,379.06,222.63,1.0,25.69,9.39,1.0,2535.86
CUST_0150,4837.66,381.51,1.0,215.15,14.97,1.0,28.42,14.57,1.0,30.7,3.12,1.0,4269.7
CUST_0151,992.8,159.28,1.0,1383.9,69.41,1.0,129.23,128.87,1.0,117.21,41.53,1.0,-405.65
CUST_0152,3304.8,363.01,1.0,1512.18,235.29,1.0,10.66,7.62,1.0,41.31,22.12,1.0,1681.05
CUST_0153,1289.6,318.92,1.0,1795.2,1.87,1.0,406.34,363.84,1.0,72.03,5.25,1.0,-798.37
CUST_0154,4031.68,1200.22,1.0,1957.4,461.38,1.0,170.73,169.49,1.0,171.72,58.52,1.0,1447.4
CUST_0155,4679.8,710.44,1.0,1005.9,291.83,1.0,125.99,94.31,1.0,52.92,28.79,1.0,3247.74
CUST_0156,1832.59,379.06,1.0,151.11,37.83,1.0,303.02,176.05,1.0,75.24,43.99,1.0,1244.53
CUST_0157,4959.45,1642.15,1.0,1350.15,355.5,1.0,204.78,9.97,1.0,61.57,1.83,1.0,2187.58
CUST_0158,1232.83,612.63,1.0,434.49,0.64,1.0,46.65,13.1,1.0,41.56,15.77,1.0,178.59
CUST_0159,2386.97,315.31,1.0,1094.79,72.2,1.0,246.05,189.85,1.0,72.84,29.91,1.0,1035.8
CUST_0160,1751.47,266.94,1.0,930.05,132.11,1.0,445.16,319.36,1.0,5.32,2.24,1.0,563.87
CUST_0161,2232.71,509.83,1.0,203.43,75.77,1.0,225.85,45.26,1.0,76.21,52.72,1.0,1438.12
CUST_0162,1442.82,368.36,1.0,553.01,224.38,1.0,144.58,5.72,1.0,59.54,51.27,1.0,615.24
CUST_0163,3864.78,1354.87,1.0,1422.36,287.71,1.0,353.93,289.59,1.0,131.32,121.27,1.0,1320.97
CUST_0164,2684.84,29.16,1.0,1035.25,6.26,1.0,292.08,205.46,1.0,110.28,104.27,1.0,1546.08
CUST_0165,3901.53,69.81,1.0,192.25,20.86,1.0,237.53,167.64,1.0,36.01,7.69,1.0,3618.76
CUST_0166,1203.54,5.73,1.0,1776.71,547.33,1.0,466.53,218.01,1.0,85.95,48.46,1.0,-242.6
CUST_0167,4377.49,2088.99,1.0,545.68,175.37,1.0,340.68,307.21,1.0,174.45,89.0,1.0,1970.17
CUST_0168,973.28,342.78,1.0,796.86,236.19,1.0,311.94,274.28,1.0,112.88,52.91,1.0,92.14
CUST_0169,3428.09,561.07,1.0,769.24,85.6,1.0,376.04,305.84,1.0,117.25,28.94,1.0,2201.49
CUST_0170,2890.2,53.96,1.0,189.25,68.41,1.0,268.69,96.86,1.0,78.62,22.67,1.0,2599.52
CUST_0171,1204.9,543.47,1.0,270.1,53.01,1.0,351.86,247.81,1.0,97.33,72.68,1.0,364.94
CUST_0172,3990.8,1552.9,1.0,980.9,437.92,1.0,326.98,252.16,1.0,96.82,68.62,1.0,1848.3
CUST_0173,4038.29,1547.47,1.0,1062.67,140.46,1.0,277.3,171.91,1.0,74.98,49.78,1.0,1488.42
CUST_0174,3707.74,190.32,1.0,1252.62,63.27,1.0,110.2,80.49,1.0,78.55,46.95,1.0,2329.96
CUST_0175,634.83,264.43,1.0,259.58,85.21,1.0,305.46,291.88,1.0,34.58,24.7,1.0,192.33
CUST_0176,2642.93,35.22,1.0,1963.04,870.32,1.0,421.4,248.23,1.0,84.46,40.97,1.0,1385.31
CUST_0177,2380.86,1018.99,1.0,825.84,78.75,1.0,3.66,1.8,1.0,131.1,92.28,1.0,651.74
CUST_0178,3068.54,982.19,1.0,531.8,46.34,1.0,59.92,2.55,1.0,173.38,110.1,1.0,1606.8
CUST_0179,807.03,269.07,1.0,218.31,6.65,1.0,157.49,28.95,1.0,195.54,121.72,1.0,271.58
CUST_0180,4473.87,1407.71,1.0,886.88,168.01,1.0,366.5,231.44,1.0,95.9,63.19,1.0,2244.94
CUST_0181,4845.64,2075.72,1.0,350.46,73.96,1.0,316.93,83.72,1.0,108.81,27.86,1.0,2341.16
CUST_0182,4021.74,1758.49,1.0,880.36,207.99,1.0,370.76,290.35,1.0,144.86,134.55,1.0,1520.78
CUST_0183,3912.68,1248.66,1.0,1830.74,711.72,1.0,405.29,68.41,1.0,177.72,7.12,1.0,1378.72
CUST_0184,1257.05,624.77,1.0,516.98,103.38,1.0,298.35,140.69,1.0,71.28,49.18,1.0,83.12
CUST_0185,1870.61,503.95,1.0,106.26,7.22,1.0,271.83,266.08,1.0,135.68,52.02,1.0,1345.53
CUST_0186,2407.72,484.79,1.0,1184.09,113.83,1.0,51.23,32.64,1.0,47.87,10.3,1.0,871.65
CUST_0187,1929.49,776.87,1.0,1560.13,587.0,1.0,373.45,129.64,1.0,188.94,134.19,1.0,-9.57
CUST_0188,3985.62,1204.54,1.0,545.24,149.66,1.0,153.08,120.17,1.0,172.1,95.04,1.0,2429.65
CUST_0189,3429.33,450.16,1.0,766.99,173.8,1.0,200.74,62.15,1.0,89.13,3.56,1.0,2332.96
CUST_0190,4472.53,845.72,1.0,1089.83,381.79,1.0,76.37,26.19,1.0,148.97,46.44,1.0,2971.12
CUST_0191,2689.21,399.74,1.0,599.92,183.73,1.0,419.15,64.93,1.0,185.33,185.02,1.0,1519.37
CUST_0192,3192.43,626.44,1.0,693.95,310.79,1.0,257.42,80.91,1.0,131.5,59.75,1.0,2078.07
CUST_0193,1994.4,277.77,1.0,1198.35,411.8,1.0,354.06,12.65,1.0,175.41,143.3,1.0,620.78
CUST_0194,4359.29,1938.72,1.0,944.77,183.46,1.0,225.76,154.16,1.0,7.43,3.33,1.0,1591.76
CUST_0195,1997.21,733.89,1.0,1488.2,580.95,1.0,132.81,44.05,1.0,179.4,79.12,1.0,367.59
CUST_0196,2275.55,414.53,1.0,1410.62,635.65,1.0,236.44,182.56,1.0,97.41,3.22,1.0,1126.36
CUST_0197,4357.98,105.3,1.0,785.87,314.41,1.0,314.45,244.92,1.0,160.35,12.37,1.0,3859.67
CUST_0198,4913.16,1237.37,1.0,410.41,180.02,1.0,469.13,180.62,1.0,27.94,20.68,1.0,3164.15
CUST_0199,1092.91,391.94,1.0,1556.69,428.76,1.0,152.6,134.47,1.0,159.17,22.37,1.0,-308.29
CUST_0200,2953.54,65.01,1.0,1704.53,400.41,1.0,334.46,36.4,1.0,48.36,10.82,1.0,1323.89
CUST_0201,3010.18,570.05,1.0,1189.0,572.4,1.0,377.6,232.47,1.0,93.73,48.81,1.0,1723.32
CUST_0202,4373.71,1847.35,1.0,1555.78,594.25,1.0,276.64,30.98,1.0,16.29,3.32,1.0,1332.14
CUST_0203,3451.22,1048.9,1.0,1819.85,121.04,1.0,276.04,270.82,1.0,10.92,8.33,1.0,700.88
CUST_0204,1919.23,27.87,1.0,1113.83,220.79,1.0,94.17,87.61,1.0,58.3,3.39,1.0,1046.67
CUST_0205,789.84,300.76,1.0,1227.53,536.04,1.0,22.89,18.81,1.0,48.79,19.81,1.0,-177.51
CUST_0206,2448.28,1004.64,1.0,157.46,35.16,1.0,241.4,129.08,1.0,126.7,87.03,1.0,1248.69
CUST_0207,4452.79,270.78,1.0,493.43,225.75,1.0,255.89,10.57,1.0,182.06,39.81,1.0,3811.26
CUST_0208,3585.85,433.43,1.0,1455.25,116.46,1.0,457.5,140.28,1.0,35.08,29.66,1.0,1501.83
CUST_0209,4937.24,2221.85,1.0,1560.49,142.3,1.0,86.94,66.98,1.0,114.35,56.8,1.0,1334.79
CUST_0210,3852.46,1681.88,1.0,1384.04,119.26,1.0,316.86,247.96,1.0,79.2,49.12,1.0,866.98
CUST_0211,1014.75,386.64,1.0,953.25,21.47,1.0,399.99,225.51,1.0,147.29,29.9,1.0,-360.76
CUST_0212,700.12,109.69,1.0,1766.51,397.69,1.0,150.82,42.38,1.0,80.56,26.59,1.0,-832.86
CUST_0213,1897.45,283.36,1.0,1934.11,139.08,1.0,69.15,32.08,1.0,39.06,26.36,1.0,-205.31
CUST_0214,2805.85,752.33,1.0,249.83,113.4,1.0,324.22,137.04,1.0,12.3,3.28,1.0,1738.93
CUST_0215,3059.85,378.23,1.0,772.46,335.5,1.0,310.62,298.23,1.0,167.75,45.94,1.0,2354.08
CUST_0216,4371.86,705.69,1.0,655.11,317.46,1.0,313.91,117.28,1.0,49.05,35.32,1.0,3145.62
CUST_0217,855.71,259.01,1.0,1079.88,134.38,1.0,245.48,8.87,1.0,45.99,26.35,1.0,-565.77
CUST_0218,3211.45,823.68,1.0,929.96,330.55,1.0,114.99,24.26,1.0,61.89,17.99,1.0,1741.53
CUST_0219,987.24,170.67,1.0,1946.49,597.7,1.0,109.0,43.04,1.0,111.44,42.63,1.0,-529.37
CUST_0220,4762.27,1925.28,1.0,401.38,67.43,1.0,344.59,79.44,1.0,98.07,41.11,1.0,2294.85
CUST_0221,1040.12,50.53,1.0,266.88,9.04,1.0,319.42,304.76,1.0,42.35,26.8,1.0,732.64
CUST_0222,1932.69,379.16,1.0,461.09,0.87,1.0,319.44,31.96,1.0,29.59,29.56,1.0,805.86
CUST_0223,3260.84,325.99,1.0,804.88,370.87,1.0,485.46,318.36,1.0,172.16,119.61,1.0,2386.29
CUST_0224,1377.16,344.2,1.0,1125.78,118.24,1.0,205.97,12.69,1.0,121.47,61.19,1.0,-107.58
